1024 10
0 1023
66 316 119
67 182 235
67 663 72
67 195 6
67 181 231
67 870 48
67 316 53
67 945 19
67 518 139
68 392 111
68 281 44
68 29 235
68 828 216
70 987 156
70 221 213
70 110 56
70 370 31
70 834 66
70 852 205
71 291 218
71 753 23
71 719 6
71 217 51
72 887 240
72 25 116
72 1011 199
72 224 65
72 315 132
72 459 110
72 847 226
73 304 62
74 1019 134
74 353 130
74 868 87
74 253 201
74 376 209
74 441 147
74 400 46
75 664 67
75 803 144
75 665 131
75 297 227
75 856 173
75 369 95
75 984 222
75 392 93
76 953 72
78 757 197
78 321 145
78 605 236
78 351 185
78 247 29
78 897 246
78 859 226
78 775 186
79 110 235
79 823 45
79 790 189
79 883 240
79 944 10
79 363 36
79 267 11
79 473 25
79 720 200
80 489 248
80 732 109
80 918 94
80 345 138
80 874 48
80 163 252
80 935 127
80 512 94
80 12 116
81 874 247
81 246 237
82 558 115
82 503 238
82 626 183
82 365 58
82 979 102
82 254 187
82 64 122
82 892 230
82 525 196
83 887 172
83 373 148
83 943 194
83 80 47
83 714 64
83 483 65
83 93 244
84 281 119
84 1019 23
84 541 204
84 298 69
84 875 100
85 1012 161
85 246 87
86 874 34
86 649 234
86 6 36
88 161 37
88 531 143
88 311 16
89 497 143
89 523 47
89 304 20
89 700 75
89 102 39
89 838 171
90 600 168
90 414 199
90 417 29
90 268 221
90 665 243
90 761 58
90 440 31
90 26 16
90 123 135
91 657 158
91 838 58
91 443 27
91 174 70
92 167 185
92 953 122
92 274 126
93 422 174
93 591 189
93 520 75
93 148 86
93 899 119
93 140 178
93 567 165
93 879 101
93 15 104
95 339 141
95 450 199
95 417 122
95 777 164
95 459 132
95 997 174
96 709 58
96 356 55
96 572 26
97 798 225
97 853 244
97 441 11
97 454 108
98 1006 200
98 146 69
98 427 235
98 658 5
99 842 78
99 359 125
99 128 247
100 125 225
100 62 237
100 912 207
100 505 98
100 977 152
101 1009 125
101 876 50
101 706 154
101 657 145
101 929 233
101 416 225
102 337 96
102 531 149
102 948 125
102 552 2
102 375 107
102 826 136
102 428 194
104 90 150
104 822 48
104 688 215
104 456 184
104 706 204
104 824 207
105 679 76
105 572 125
105 113 187
105 115 229
105 434 151
105 53 61
106 614 189
106 713 36
106 13 58
106 439 53
106 904 182
106 34 2
106 86 102
106 552 156
107 438 244
107 297 121
107 235 73
107 884 180
107 62 171
107 953 77
107 667 109
107 52 254
107 512 33
108 158 115
108 330 132
108 415 161
108 807 89
108 22 150
109 388 206
109 99 103
109 721 61
109 6 17
109 32 201
109 628 186
110 58 149
111 87 7
111 219 24
111 253 214
111 256 241
111 845 202
113 884 252
114 324 169
114 396 229
114 418 133
115 970 77
115 367 163
115 48 98
115 806 208
115 433 109
115 845 197
115 608 187
116 61 27
116 699 94
116 564 209
116 820 46
116 231 46
116 560 213
116 883 226
116 557 183
117 655 31
118 904 37
118 401 200
118 204 240
118 809 193
118 889 165
118 517 83
118 511 72
118 223 82
118 290 6
119 150 177
120 961 116
120 339 77
121 921 208
121 0 248
121 54 109
121 768 164
122 771 113
122 60 212
122 240 253
122 931 211
122 80 172
122 2 249
122 414 52
125 630 116
125 499 76
125 889 236
125 110 245
125 803 198
125 7 148
125 182 13
125 767 150
125 851 110
126 703 195
126 333 81
126 72 163
126 996 249
126 69 38
126 665 212
126 227 51
126 78 8
127 412 78
127 596 72
127 587 219
127 836 76
127 829 55
127 551 196
127 532 159
127 321 74
128 74 150
129 692 51
129 457 137
129 829 149
129 470 148
129 762 221
129 148 49
129 8 131
129 471 134
130 367 35
130 884 235
130 744 158
130 915 11
130 160 124
130 950 97
130 404 245
130 200 149
131 31 200
131 314 184
131 337 134
132 182 202
132 231 206
132 518 184
132 640 253
132 223 86
132 742 34
132 38 21
133 63 250
133 893 110
133 114 83
133 641 126
133 719 239
134 141 191
134 799 170
134 960 5
134 872 16
134 413 55
135 858 212
135 372 129
135 467 146
135 223 251
135 232 66
135 45 14
136 218 139
136 700 45
136 472 110
136 769 32
136 640 149
136 674 77
137 831 233
137 775 230
137 865 227
137 639 112
137 28 145
137 81 122
137 185 131
137 970 176
137 195 6
138 737 169
138 795 78
138 885 252
139 395 111
139 795 15
139 446 250
139 780 19
141 805 15
141 271 211
142 1020 71
142 18 17
142 914 166
142 655 5
142 271 120
143 478 22
143 900 85
143 476 42
143 425 39
144 666 99
145 94 111
145 271 239
146 54 123
146 427 115
146 566 40
147 747 220
147 692 192
147 684 8
147 712 8
147 27 102
147 971 111
148 350 241
148 279 200
148 890 157
148 816 220
148 246 230
148 982 177
148 635 195
148 804 101
149 422 149
149 630 243
149 501 52
149 71 203
149 243 29
149 307 78
149 0 36
149 615 249
150 359 236
150 634 171
151 307 197
153 713 172
153 488 182
153 404 247
153 134 43
153 27 75
153 932 91
153 172 123
154 882 216
154 823 135
154 475 20
154 868 200
154 281 4
155 561 211
155 900 23
155 843 67
155 696 84
155 237 175
156 953 198
156 689 210
157 473 92
157 123 115
157 537 186
157 110 197
157 947 249
159 640 188
159 995 134
159 99 164
159 957 90
159 12 42
159 708 94
160 210 51
160 785 59
160 924 153
160 182 153
160 573 89
160 173 186
160 180 240
160 153 188
160 698 68
161 360 252
161 392 140
161 821 216
161 6 163
161 529 22
161 953 205
161 125 235
162 636 143
162 662 100
162 749 249
162 473 173
162 833 243
162 623 188
162 691 48
162 752 32
163 766 8
164 968 121
164 461 99
164 555 239
164 815 163
164 730 107
165 443 139
165 663 188
166 702 90
166 76 157
166 941 236
166 70 1
166 754 99
166 592 254
166 863 105
166 277 69
167 296 205
167 232 190
168 507 130
169 489 253
170 14 82
170 773 216
170 173 6
170 492 180
170 616 15
171 219 180
171 802 96
171 474 184
172 598 146
172 800 117
172 121 214
172 604 122
172 911 39
172 217 214
172 588 18
173 856 114
173 608 228
173 191 54
173 418 32
173 243 163
173 454 130
174 404 224
174 753 28
174 522 151
174 340 65
175 56 14
175 331 104
175 902 241
175 261 22
175 281 244
175 23 196
175 578 210
177 320 36
177 942 142
177 233 55
178 577 46
178 541 175
178 391 80
178 7 124
178 467 20
178 343 130
178 211 171
178 286 197
179 507 158
179 189 120
179 849 128
179 1020 190
179 710 216
181 951 126
182 288 132
182 940 162
182 84 157
183 254 184
183 488 94
183 486 106
183 344 139
183 378 18
185 454 5
185 73 176
185 105 50
185 390 30
185 930 21
185 25 111
185 292 127
185 524 5
186 585 56
187 434 247
187 455 197
187 551 248
187 805 214
187 962 26
188 976 119
188 466 176
188 610 221
188 166 104
188 515 218
188 611 232
188 661 159
188 97 101
188 816 209
190 269 27
190 359 200
190 635 237
191 561 148
191 724 150
191 802 37
191 284 158
191 851 49
191 417 6
191 632 118
192 636 165
192 604 45
192 781 51
192 998 107
192 703 94
193 855 170
193 467 236
193 215 233
193 765 53
195 485 165
195 815 233
195 912 201
195 640 86
195 942 191
195 159 255
195 203 35
195 332 242
196 158 114
196 727 147
198 403 177
198 113 181
200 691 96
200 1021 248
200 52 247
200 373 120
201 1019 93
201 974 46
201 934 240
201 618 180
201 504 176
201 709 119
202 106 164
203 375 72
203 130 122
203 900 155
203 110 242
203 650 138
203 474 142
204 580 144
204 176 164
204 579 46
205 610 40
205 75 141
205 537 255
205 688 121
205 315 122
205 977 203
205 660 155
205 710 241
205 303 224
207 710 48
208 821 21
208 676 169
208 757 238
208 343 10
208 905 110
208 366 104
208 894 72
209 747 51
209 913 194
209 1004 171
209 549 159
210 476 250
210 888 2
210 581 156
210 742 185
211 543 101
211 573 122
211 136 132
211 745 160
211 341 201
211 231 9
211 553 7
211 786 216
212 63 167
212 933 250
213 250 29
213 542 195
213 952 150
213 51 187
214 496 149
214 179 53
214 95 133
215 1020 146
216 940 253
216 539 96
217 280 171
217 442 236
217 661 189
217 70 93
218 609 65
218 610 214
218 394 155
218 997 205
218 143 44
218 557 3
218 25 44
218 435 9
218 376 26
219 165 17
219 771 125
219 958 129
219 458 86
219 470 191
219 121 84
219 163 200
220 614 253
220 658 67
220 220 42
220 29 136
220 4 128
220 310 75
220 487 21
221 7 190
221 605 61
221 637 98
221 1 61
221 504 217
221 108 230
221 327 16
221 123 108
221 330 70
222 937 43
222 154 191
223 1005 183
223 310 2
223 966 102
223 838 200
223 323 210
223 80 19
224 48 135
224 828 7
225 632 212
225 530 129
225 245 167
225 469 97
225 865 108
226 1019 76
226 777 209
227 174 177
227 978 159
227 385 170
228 195 117
228 796 156
228 630 54
228 664 61
228 60 25
228 131 15
228 579 13
228 904 149
228 800 161
229 1017 112
230 61 143
230 53 26
230 883 98
230 456 190
230 963 19
230 287 53
231 477 18
231 1004 183
231 814 155
231 413 87
231 436 201
231 459 83
231 912 125
232 694 85
232 180 173
232 458 107
233 499 23
233 946 36
233 1009 145
233 988 104
233 23 177
233 594 140
233 561 136
234 817 252
234 224 6
234 729 82
234 730 188
234 857 40
234 330 51
234 499 212
234 737 79
235 29 62
235 165 136
235 445 42
235 49 28
235 396 85
235 23 75
235 298 217
236 117 32
236 359 223
236 396 211
236 892 188
236 910 65
236 471 34
236 330 162
236 370 40
237 117 6
237 86 231
237 522 8
237 749 61
237 607 83
237 530 83
237 80 113
237 886 239
237 554 204
238 525 119
238 871 9
238 713 123
238 222 143
238 919 70
238 490 215
239 388 132
239 165 96
239 144 2
239 683 29
239 871 177
239 996 114
239 955 42
239 274 225
239 131 96
241 130 210
241 380 128
241 589 87
242 874 168
242 211 46
242 85 149
242 283 67
242 3 30
243 664 207
243 369 89
243 464 15
243 3 33
243 24 21
243 2 41
243 118 165
243 528 239
244 270 232
244 609 66
244 903 36
244 349 177
244 994 80
244 667 36
244 483 210
244 41 50
245 825 255
245 560 182
245 859 250
245 26 19
245 231 42
246 391 44
246 240 137
246 335 132
246 487 111
246 873 165
246 54 103
246 788 82
247 513 114
247 841 78
247 367 158
247 846 36
247 192 88
247 440 190
247 463 132
247 119 248
247 717 210
248 911 53
248 296 46
248 26 23
248 697 146
248 226 52
248 403 20
248 548 51
248 581 123
248 310 21
249 854 146
249 567 213
249 34 225
249 108 31
249 385 68
249 94 84
249 511 233
250 226 222
250 128 143
250 419 6
250 541 251
251 904 230
251 254 154
251 323 66
251 632 242
251 382 252
251 560 145
251 107 239
251 46 136
251 398 205
252 0 20
252 980 113
253 184 76
253 789 167
253 783 230
253 223 252
253 80 65
254 705 171
254 532 193
255 871 26
255 640 90
255 61 160
255 233 174
255 291 146
255 721 139
255 742 16
256 104 250
258 542 252
258 914 11
258 778 145
258 789 255
258 304 224
258 796 162
258 528 125
258 475 133
259 851 115
259 560 120
259 690 162
259 148 38
259 276 26
259 1003 106
259 205 46
260 358 198
260 415 249
260 185 29
260 572 104
260 445 25
260 701 244
260 694 80
260 182 72
261 143 33
261 745 77
261 830 43
261 972 155
261 414 165
261 819 220
261 476 195
262 741 126
262 328 111
262 520 171
262 43 208
262 353 55
262 1010 2
262 111 101
263 885 227
265 587 87
266 664 65
266 67 254
266 963 186
266 539 146
266 308 128
267 49 200
267 475 113
267 949 61
267 106 225
268 855 94
268 871 131
268 26 211
268 703 156
268 564 114
269 407 103
269 14 16
269 178 107
269 425 90
269 431 85
269 307 107
270 653 204
270 948 107
270 630 112
270 340 132
270 494 145
270 766 187
270 546 131
270 490 231
271 61 237
272 924 64
272 903 244
272 415 2
272 440 231
272 565 202
272 107 49
273 34 141
273 197 92
273 694 105
273 97 122
273 137 126
273 958 240
273 683 184
273 823 10
274 676 216
274 729 17
274 418 33
275 1006 176
275 487 208
275 989 243
277 768 149
277 736 66
277 421 75
277 95 118
277 106 172
277 544 180
277 25 228
278 516 119
278 151 119
278 278 35
278 69 67
278 708 67
278 917 80
278 293 80
279 458 42
279 180 159
279 815 60
280 233 23
280 555 110
280 196 60
280 791 28
280 293 55
280 907 91
281 796 137
281 372 245
281 61 124
281 518 189
281 873 112
281 1010 96
281 574 72
281 607 131
282 1014 106
282 313 247
282 213 132
282 176 224
282 291 200
282 365 229
282 12 63
282 439 230
282 543 15
283 24 180
283 659 81
283 751 136
283 81 197
283 152 44
284 598 70
284 545 64
284 34 201
284 780 189
284 872 146
285 419 236
285 813 130
285 829 68
285 438 195
285 97 157
286 104 8
286 281 37
286 669 252
286 521 60
286 817 205
286 457 78
287 564 87
287 704 220
287 164 242
287 425 3
287 918 131
287 968 81
287 661 40
287 771 208
287 827 59
288 47 8
288 462 210
288 765 21
288 49 129
288 140 100
288 40 52
289 751 242
289 464 185
289 160 11
289 253 123
289 308 81
289 1017 110
289 704 80
289 977 247
291 822 85
291 67 109
291 337 237
291 919 154
291 19 42
291 277 3
291 145 112
292 617 126
292 574 237
292 404 238
292 71 161
292 837 199
292 876 40
292 755 198
292 240 128
293 503 179
293 647 149
293 544 36
294 873 20
294 555 30
294 858 15
294 528 129
294 818 146
294 995 109
295 816 16
295 758 245
295 857 39
295 105 165
295 251 165
295 616 225
295 53 114
295 834 54
296 853 175
296 459 26
296 25 226
297 388 197
297 99 34
298 105 171
298 110 41
298 247 14
298 106 97
298 458 70
298 345 192
298 950 14
299 75 227
301 368 160
301 391 73
301 324 221
301 993 99
301 194 86
301 358 237
301 95 19
301 236 109
301 679 16
302 625 39
302 45 165
302 390 251
302 622 174
302 138 129
303 70 137
303 405 72
303 814 252
303 796 168
303 243 193
303 764 153
304 765 116
304 798 180
305 230 66
305 1021 224
305 784 20
305 497 101
305 340 6
305 768 245
305 93 57
306 370 195
306 634 94
306 284 25
306 829 204
306 336 153
306 927 195
306 403 20
306 570 38
307 930 115
307 775 96
307 1003 30
307 480 189
307 326 197
307 759 212
308 946 15
308 568 102
308 835 171
308 223 167
308 55 25
308 173 130
308 413 40
308 577 142
308 247 80
309 107 162
309 608 28
309 581 98
309 203 228
311 128 237
311 171 138
311 486 24
311 403 68
312 915 136
312 492 212
312 759 138
312 671 64
313 509 113
313 84 43
314 773 23
314 352 252
314 446 246
314 588 239
314 472 233
314 646 180
314 66 76
314 348 93
314 155 4
315 421 75
315 783 211
315 928 144
315 569 87
315 433 85
315 807 62
315 130 245
315 837 104
316 6 172
316 226 100
316 671 114
317 810 204
317 532 210
317 712 27
318 722 223
318 872 105
318 911 148
318 276 147
318 63 202
318 266 30
319 585 187
319 39 42
319 944 123
319 512 94
319 324 207
319 834 6
319 36 167
320 513 32
320 639 23
320 971 208
320 870 104
320 191 48
321 448 6
321 131 156
321 982 96
321 270 29
321 66 196
321 903 109
321 845 65
321 188 220
322 227 103
322 537 43
322 627 216
322 166 180
322 69 251
322 494 159
322 846 41
323 526 223
323 605 50
323 342 31
323 789 161
323 980 85
324 789 3
324 661 45
324 334 65
324 366 81
324 558 249
324 186 30
324 284 219
325 741 174
325 154 124
325 865 146
325 249 114
325 575 75
325 755 76
325 82 119
327 948 111
328 672 41
328 568 246
328 306 95
328 511 114
328 974 61
329 618 155
329 118 51
329 530 161
329 668 235
329 37 6
330 880 107
330 642 133
330 959 183
330 510 45
330 346 138
330 436 232
330 787 122
330 451 128
330 20 224
332 598 4
332 192 230
332 449 220
332 234 70
332 551 101
333 493 62
333 142 161
333 405 5
333 476 69
333 166 206
333 128 100
334 409 228
334 414 103
334 843 108
334 127 3
334 148 83
334 820 126
334 517 142
334 154 145
334 190 113
335 232 8
336 5 235
337 782 103
338 292 29
338 30 188
338 859 211
338 211 58
338 487 116
338 108 16
338 346 7
339 559 75
340 652 194
340 700 50
340 291 58
340 519 131
340 810 8
340 278 63
340 457 209
341 338 197
341 538 36
341 128 71
341 850 46
341 311 85
341 324 48
341 84 87
341 904 112
341 588 38
342 827 222
342 315 86
342 382 190
342 187 119
342 417 122
342 457 161
342 626 108
342 411 81
343 420 136
343 72 36
343 249 119
343 632 193
343 324 250
343 973 152
343 981 120
343 14 222
344 488 2
344 772 137
344 851 152
344 115 45
344 575 197
345 1019 52
345 650 195
346 518 98
346 606 132
347 641 230
347 659 174
347 441 111
347 895 116
347 860 87
347 51 252
347 120 56
347 519 110
347 729 106
348 650 167
348 881 93
349 286 32
349 86 252
350 90 220
350 670 153
350 182 114
350 384 75
350 479 105
350 215 158
352 186 58
352 100 91
352 921 210
353 827 25
353 17 244
353 623 96
353 586 173
353 271 123
353 682 220
353 51 1
353 355 110
354 123 38
356 957 146
356 398 177
358 406 92
358 350 66
358 158 144
359 560 26
359 502 48
359 340 157
359 136 163
359 780 162
359 400 191
359 39 134
359 435 5
359 381 62
360 546 79
361 98 240
361 455 11
361 552 195
361 18 206
361 904 218
361 1010 38
361 281 69
362 846 140
362 959 184
362 498 133
362 306 22
362 368 143
362 286 71
363 130 52
363 309 179
363 746 243
363 610 30
363 59 129
363 105 169
363 268 83
363 355 193
363 168 102
364 586 201
365 334 6
365 977 56
365 924 116
366 495 223
366 149 175
366 372 137
366 861 233
366 371 155
367 756 62
367 399 172
367 229 165
368 42 218
368 281 135
368 13 191
368 100 46
368 777 242
368 0 218
368 43 208
368 714 255
369 817 232
369 836 108
370 705 10
370 187 108
370 688 49
370 298 98
372 4 50
372 670 140
372 903 21
372 274 198
372 63 186
372 886 1
372 309 212
373 410 225
373 470 8
373 173 194
373 72 207
373 627 155
373 80 215
373 673 63
374 232 98
374 43 234
375 884 128
375 83 238
375 772 207
375 357 110
375 472 15
375 9 241
376 697 112
376 826 46
376 459 78
376 995 108
376 768 221
376 824 75
376 311 103
376 976 223
377 643 20
377 905 80
377 91 184
377 985 248
377 506 96
379 89 242
379 359 148
379 863 254
379 722 48
379 321 249
379 43 154
380 837 127
380 834 153
380 63 121
380 125 173
380 904 55
380 596 104
380 547 200
381 98 142
381 510 227
381 433 67
381 712 51
382 117 245
382 47 105
382 92 180
382 716 83
383 144 178
383 397 62
383 237 184
383 1017 161
384 428 54
384 731 65
384 180 204
384 718 174
384 588 27
384 694 119
385 15 36
385 406 36
385 792 31
385 464 224
386 428 109
386 690 228
386 56 84
386 858 219
386 420 152
386 277 130
386 585 252
386 88 165
386 818 212
387 401 104
387 925 223
387 85 156
387 129 234
387 861 248
387 78 87
387 670 244
387 263 79
388 620 189
388 246 199
388 331 146
388 514 97
388 976 252
388 847 49
388 792 67
389 677 138
389 692 149
389 661 200
389 918 192
389 518 170
389 850 3
389 722 36
390 131 15
390 519 197
390 832 155
390 150 116
390 798 80
390 10 96
390 30 146
390 388 237
391 667 90
391 992 142
391 198 139
391 5 131
392 628 17
392 209 175
392 633 47
392 207 141
392 52 41
392 263 8
392 205 146
394 554 25
394 1014 78
394 684 28
394 686 66
394 944 146
394 536 3
395 878 20
395 480 72
395 281 239
395 72 113
395 264 199
395 508 31
395 462 218
396 843 183
396 24 93
396 507 179
396 192 122
396 173 30
397 937 139
398 1019 64
399 907 118
399 731 253
399 548 54
399 999 159
399 87 49
399 848 62
399 989 150
400 125 197
401 775 233
402 357 173
402 392 66
402 452 229
402 846 82
402 269 37
402 821 116
403 931 127
403 162 204
403 946 197
403 992 24
404 334 76
404 681 126
404 736 189
404 856 156
404 207 142
404 370 186
405 983 175
405 700 86
405 418 123
406 172 121
406 215 115
406 344 138
406 535 67
406 937 52
406 1001 100
407 334 149
407 578 140
407 442 244
407 702 188
407 643 74
409 907 222
410 785 4
410 552 198
410 277 58
410 887 18
411 791 66
411 955 60
411 391 204
411 839 226
411 815 195
411 98 68
411 355 200
411 452 233
411 922 243
412 116 160
412 344 95
412 346 90
412 647 221
412 486 43
412 208 202
412 44 171
413 177 142
413 33 3
413 974 83
413 1003 3
413 508 193
413 941 99
413 842 190
413 840 42
414 434 216
415 651 250
415 206 245
415 831 152
415 817 5
415 81 158
416 888 40
416 889 244
417 345 255
417 92 68
417 621 135
417 10 37
418 885 168
418 129 192
418 142 232
418 351 88
418 618 165
418 267 104
418 687 84
418 17 79
418 1021 71
419 332 196
419 453 237
419 933 145
419 791 244
419 491 1
419 854 53
419 270 112
419 1004 208
420 4 51
420 527 244
420 929 155
421 477 235
422 365 215
422 333 103
422 511 201
422 112 187
422 111 13
422 976 60
422 439 103
422 103 195
423 104 130
423 396 73
423 48 180
423 961 50
424 549 122
424 592 77
424 372 203
424 669 116
424 659 134
424 740 9
424 470 143
425 517 79
425 753 38
425 781 25
425 748 137
425 97 48
425 997 98
425 545 193
425 807 39
425 320 123
426 810 190
426 212 89
426 957 141
427 1002 90
427 177 107
427 775 98
427 526 110
427 622 83
427 754 228
427 26 135
427 293 71
427 45 99
429 837 143
429 513 141
429 394 188
429 210 77
429 792 209
429 956 70
429 8 244
429 685 51
429 504 227
430 918 250
430 288 165
430 411 195
430 122 115
430 261 136
431 661 6
431 992 8
431 372 204
431 686 153
431 862 249
432 528 46
432 905 172
432 272 202
432 81 251
432 952 101
433 344 215
433 440 164
433 376 156
433 566 109
434 744 194
434 147 174
434 708 134
434 281 110
435 707 209
435 1023 171
435 534 57
435 436 11
435 854 53
436 235 194
436 576 54
436 232 200
436 557 203
438 777 57
438 166 145
438 148 109
438 6 192
438 145 73
438 656 64
439 995 67
439 866 72
439 37 5
439 424 201
439 988 192
439 761 146
439 566 136
439 449 238
439 918 213
440 936 99
440 260 17
440 772 90
440 644 199
440 243 123
441 619 253
441 201 247
441 83 22
441 217 229
441 830 8
442 606 56
442 736 130
442 154 47
442 903 194
442 886 195
442 69 72
442 466 28
442 538 116
444 608 83
444 29 218
444 504 207
444 119 15
444 707 251
445 843 104
445 562 49
445 280 170
445 865 42
446 425 179
446 216 223
446 134 8
446 685 100
446 770 37
446 7 46
446 330 89
446 645 164
446 351 181
447 62 70
448 571 49
448 688 230
449 63 253
449 276 12
449 351 111
449 81 141
449 807 215
449 190 113
450 48 96
450 617 24
450 460 53
450 409 189
450 642 90
450 516 13
450 573 181
450 636 187
450 1015 77
451 451 16
451 1003 79
451 888 37
452 190 30
453 168 66
453 199 192
453 188 148
453 762 190
454 306 109
454 134 18
455 463 104
455 91 154
455 153 177
455 40 88
455 381 49
456 158 230
456 602 173
456 471 208
456 37 212
456 80 227
456 59 169
456 244 206
457 153 58
457 952 169
457 104 98
457 991 34
457 130 56
458 40 111
458 155 223
458 91 40
459 605 216
459 819 13
459 147 157
459 582 231
459 324 232
459 222 90
459 993 143
459 227 125
461 972 214
461 178 149
461 766 192
462 76 60
462 276 75
462 400 19
462 433 54
462 887 164
462 947 74
462 1007 156
462 942 82
462 318 134
463 550 37
463 663 10
463 877 172
463 148 119
463 76 151
463 630 218
463 467 28
464 873 167
465 821 178
465 545 168
465 722 206
466 265 217
466 162 132
466 705 241
467 876 180
468 515 102
468 57 200
468 545 28
468 579 4
468 193 108
469 867 2
469 628 143
469 624 210
469 195 226
469 1003 250
469 544 126
469 658 20
469 648 28
469 250 19
470 813 86
470 269 141
472 621 96
472 409 180
472 863 1
473 44 112
473 53 37
473 435 100
473 544 112
473 633 202
475 901 28
475 557 205
475 52 252
475 235 199
475 511 181
475 540 123
475 874 77
476 350 124
476 820 36
476 211 203
477 243 16
477 618 65
477 331 45
478 698 232
479 267 130
480 820 216
480 670 64
480 174 248
480 301 216
481 880 212
481 109 210
481 925 9
481 251 17
481 330 4
482 671 196
482 584 129
482 70 171
482 145 163
482 967 45
482 444 232
482 842 176
482 892 181
484 299 181
484 932 94
484 569 136
484 1023 6
484 700 193
484 808 146
484 605 94
485 676 107
485 305 130
485 257 96
485 607 227
485 986 105
485 196 100
485 951 223
485 636 79
485 558 210
486 114 88
486 832 210
486 986 214
486 857 31
486 109 193
486 284 212
486 1012 219
487 159 103
487 92 13
488 154 179
488 749 75
489 465 36
489 633 249
489 736 108
489 752 245
489 891 136
489 866 45
489 300 198
489 619 39
490 301 69
491 162 225
491 86 230
491 899 34
491 865 33
491 823 67
492 0 183
492 459 58
493 197 126
493 151 6
493 685 40
494 203 73
494 696 214
494 394 210
494 156 132
494 659 238
494 886 107
495 461 204
495 852 206
495 286 67
495 44 162
496 1006 144
496 374 27
496 453 52
496 808 139
496 680 247
496 106 79
496 467 241
496 758 169
497 10 254
497 607 103
497 519 57
497 541 190
497 720 210
498 641 154
499 670 248
500 338 116
500 572 25
